,Date,Value
16,1988-09-01,13.18
17,1988-10-01,12.41
18,1988-11-01,13.02
40,1990-09-01,34.9
41,1990-10-01,36.02
79,1993-12-01,13.73
81,1994-02-01,13.8
130,1998-03-01,13.1
131,1998-04-01,13.53
133,1998-06-01,12.21
134,1998-07-01,12.08
135,1998-08-01,11.91
136,1998-09-01,13.34
137,1998-10-01,12.7
138,1998-11-01,11.04
139,1998-12-01,9.82
140,1999-01-01,11.11
141,1999-02-01,10.27
142,1999-03-01,12.51
204,2004-05-01,37.57
205,2004-06-01,35.18
206,2004-07-01,38.22
207,2004-08-01,42.74
211,2004-12-01,39.6
215,2005-04-01,51.88
245,2007-10-01,82.34
246,2007-11-01,92.41
247,2007-12-01,90.93
248,2008-01-01,92.18
249,2008-02-01,94.99
250,2008-03-01,103.64
251,2008-04-01,109.07
252,2008-05-01,122.8
253,2008-06-01,132.32
254,2008-07-01,132.72
255,2008-08-01,113.24
256,2008-09-01,97.23
259,2008-12-01,39.95
263,2009-04-01,50.18
274,2010-03-01,78.83
275,2010-04-01,84.82
281,2010-10-01,82.67
282,2010-11-01,85.28
283,2010-12-01,91.45
284,2011-01-01,96.52
285,2011-02-01,103.72
286,2011-03-01,114.64
287,2011-04-01,123.26
288,2011-05-01,114.99
289,2011-06-01,113.83
290,2011-07-01,116.97
291,2011-08-01,110.22
292,2011-09-01,112.83
293,2011-10-01,109.55
294,2011-11-01,110.77
295,2011-12-01,107.87
296,2012-01-01,110.69
297,2012-02-01,119.33
298,2012-03-01,125.45
299,2012-04-01,119.75
300,2012-05-01,110.34
301,2012-06-01,95.16
302,2012-07-01,102.62
303,2012-08-01,113.36
304,2012-09-01,112.86
305,2012-10-01,111.71
306,2012-11-01,109.06
307,2012-12-01,109.49
308,2013-01-01,112.96
309,2013-02-01,116.05
310,2013-03-01,108.47
311,2013-04-01,102.25
312,2013-05-01,102.56
313,2013-06-01,102.92
314,2013-07-01,107.93
315,2013-08-01,111.28
316,2013-09-01,111.6
317,2013-10-01,109.08
318,2013-11-01,107.79
319,2013-12-01,110.76
320,2014-01-01,108.12
321,2014-02-01,108.9
322,2014-03-01,107.48
323,2014-04-01,107.76
324,2014-05-01,109.54
325,2014-06-01,111.8
326,2014-07-01,106.77
327,2014-08-01,101.61
328,2014-09-01,97.09
329,2014-10-01,87.43
330,2014-11-01,79.44
343,2015-12-01,38.01
346,2016-03-01,38.21
347,2016-04-01,41.58
360,2017-05-01,50.33
363,2017-08-01,51.7
376,2018-09-01,78.89
377,2018-10-01,81.03
